loan_status,annual_inc,delinq_2yrs,dti,emp_length,int_rate,revol_bal,total_acc,funded_amnt,total_pymnt,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,term_ 36 months,term_ 60 months
1.000000000000000000e+00,-1.781154667234982059e-01,-3.088536888778334322e-01,2.728784722724289513e-01,1.000000000000000000e+01,1.595999999999999919e-01,3.701387978094575898e-02,-7.985999977482595158e-01,8.436636631830348731e-01,5.741262206188439965e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-2.112305754455813811e-01,-3.088536888778334322e-01,-1.048249192121254225e+00,5.000000000000000000e+00,1.628999999999999893e-01,-9.677573897228158861e-02,-2.694272948255456157e-01,1.470221184264010328e-01,1.505739675236330566e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-5.380623006591848112e-01,-3.088536888778334322e-01,4.026054551192125852e-01,1.000000000000000000e+01,1.058999999999999941e-01,-5.809727026772232295e-01,-4.840943364188693421e-03,-8.199579362357922729e-01,-6.892351098895435069e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.218402282229072708e-01,-3.088536888778334322e-01,2.833565403251459697e-02,1.000000000000000000e+01,1.756000000000000061e-01,9.365409000178995802e-01,7.889181110198820734e-01,1.848768379498576309e+00,2.730409580668765823e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,8.217368497645201053e-01,1.702600335469067971e+00,2.520028658373142383e-01,1.000000000000000000e+00,1.482999999999999874e-01,1.563480180408549414e+00,8.335450712293028530e-02,1.952744729462253082e+00,2.118599353815874498e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-2.581036520425396552e-01,-3.088536888778334322e-01,9.617734846312117059e-01,8.000000000000000000e+00,1.521000000000000130e-01,-4.574505137206871797e-01,-9.303639385130767214e-02,-3.485984830671245427e-01,-5.407776211882150408e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-6.980386712972677099e-01,-3.088536888778334322e-01,-1.819115250639970760e-01,1.000000000000000000e+01,1.681999999999999884e-01,-4.464318085730184515e-01,-9.749908987224974455e-01,-4.040525363810854587e-01,-5.259879058034975241e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.021707313062123701e+00,1.702600335469067971e+00,4.115521435914049619e-01,7.000000000000000000e+00,1.348000000000000032e-01,2.273623205919947488e+00,6.125272100456441438e-01,1.504879967585235900e-01,9.086831101558681678e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-4.380770690103829579e-01,1.702600335469067971e+00,-3.504074912902793160e-01,3.000000000000000000e+00,2.210999999999999910e-01,-6.667433052471443133e-01,-1.063186349209616521e+00,1.504879967585235900e-01,-6.398250418776173509e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,-7.813023507469638029e-02,-3.088536888778334322e-01,-9.871134875612757043e-01,2.000000000000000000e+00,7.900000000000000078e-02,4.733796461403255162e-01,1.582677165403952868e+00,2.368650129316959507e+00,2.160947913029845679e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
